 ,Area,Mean,Min,Max,X,Y,Slice
1,0,452,452,452,362,231,58
2,0,430,430,430,365,223,58
3,0,236,236,236,156,380,61
4,0,257,257,257,166,354,61
5,0,347,347,347,308,282,67
6,0,682,682,682,318,262,67
7,0,256,256,256,275,146,60
8,0,274,274,274,278,138,60
9,0,297,297,297,263,232,67
10,0,317,317,317,267,225,67
11,0,284,284,284,302,323,67
12,0,248,248,248,306,318,67
13,0,332,332,332,317,302,67
14,0,321,321,321,321,296,67
