 ,Area,Mean,Min,Max,X,Y,Slice
1,0,216,216,216,199,360,64
2,0,221,221,221,205,340,64
3,0,249,249,249,224,302,64
4,0,251,251,251,225,292,64
5,0,158,158,158,136,356,73
6,0,153,153,153,146,341,73
7,0,229,229,229,229,203,74
8,0,272,272,272,232,197,74
9,0,256,256,256,153,321,74
10,0,210,210,210,160,300,74
11,0,266,266,266,220,377,80
12,0,173,173,173,232,353,80
13,0,290,290,290,273,301,72
14,0,298,298,298,278,293,72
15,0,240,240,240,477,300,72
16,0,148,148,148,481,294,72
17,0,156,156,156,366,350,72
18,0,347,347,347,377,328,57
