 ,Area,Mean,Min,Max,X,Y,Slice
1,0,373,373,373,321,386,9
2,0,364,364,364,325,378,9
3,0,260,260,260,372,297,9
4,0,305,305,305,382,286,9
5,0,164,164,164,148,424,14
6,0,243,243,243,158,410,14
7,0,360,360,360,186,415,10
8,0,380,380,380,195,403,10
9,0,354,354,354,328,203,14
10,0,415,415,415,339,184,14
11,0,344,344,344,286,462,22
12,0,272,272,272,294,448,22
13,0,232,232,232,353,305,22
14,0,696,696,696,360,295,38
15,0,378,378,378,308,186,47
16,0,425,425,425,308,180,47
17,0,297,297,297,192,189,47
18,0,484,484,484,198,178,47
19,0,408,408,408,378,349,39
20,0,338,338,338,386,336,39
