 ,Area,Mean,Min,Max,X,Y,Slice
1,0,226,226,226,161,234,37
2,0,254,254,254,170,225,37
3,0,424,424,424,201,202,37
4,0,435,435,435,206,197,37
5,0,348,348,348,172,221,37
6,0,374,374,374,184,213,37
7,0,314,314,314,194,253,52
8,0,492,492,492,204,244,52
9,0,252,252,252,400,209,38
10,0,269,269,269,413,198,38
11,0,269,269,269,413,198,38
12,0,209,209,209,420,195,38
13,0,346,346,346,93,180,42
14,0,340,340,340,121,161,42
15,0,340,340,340,121,161,42
16,0,582,582,582,138,150,42
17,0,286,286,286,120,107,64
18,0,449,449,449,135,95,64
