 ,Area,Mean,Min,Max,X,Y,Slice
1,0,300,300,300,257,204,39
2,0,379,379,379,259,193,39
3,0,298,298,298,190,225,39
4,0,247,247,247,190,217,39
5,0,480,480,480,261,182,39
6,0,169,169,169,271,170,39
7,0,365,365,365,314,273,45
8,0,427,427,427,320,258,45
9,0,474,474,474,249,378,45
10,0,630,630,630,264,338,45
11,0,748,748,748,376,293,50
12,0,419,419,419,375,277,50
13,0,368,368,368,314,328,45
14,0,512,512,512,310,317,45
15,0,184,184,184,219,456,45
16,0,329,329,329,224,447,45
17,0,342,342,342,321,224,47
18,0,406,406,406,322,207,47
19,0,303,303,303,308,305,47
20,0,701,701,701,313,288,47
21,0,379,379,379,176,275,41
22,0,352,352,352,182,248,41
